evidence_id,evidence_type,product_name,model_name,manufacturer,kc_certification_number,recall_reason,corrective_action,publication_date,source,brand_name,business_type,legal_category,manufacturer_country,raw_source_row
KATS-RECALL-0001,recall,완구,하프토이MR-T002,주식회사해브잇올,CB063R4097-20001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),하프토이,수입,어린이>완구,국내>아시아지역>대한민국,1
KATS-RECALL-0002,recall,완구,구체관절인형(미니프린세스돌30cm),와니월드,CB063R3279-9001CB063R3279-9001A,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국외>아시아지역>중국,2
KATS-RECALL-0003,recall,완구,꾸러기상자,(주)메디블루,cb063r3362-9001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),키즈커즈,수입,어린이>완구,국내>아시아지역>대한민국,3
KATS-RECALL-0004,recall,완구,시크릿쥬쥬핸드백쥬얼리세트,(주)올림포스,Cb063r239-5001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),시크릿쥬쥬,수입,어린이>완구,국내>아시아지역>대한민국,4
KATS-RECALL-0005,recall,완구,여러가지직업입체북만들기,(주)코너스톤에스에이치,CB064H045-6001(온라인),유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,어린이>완구,국내>아시아지역>대한민국,5
KATS-RECALL-0006,recall,완구,원형국기비즈,더펀즈,CB065R0091-7001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,,6
KATS-RECALL-0007,recall,완구,익스트림핑크에어워터건(YSWG-GC3M),예샘,CB065R0435-9001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국내>아시아지역>대한민국,7
KATS-RECALL-0008,recall,완구,아이와모래놀이샌드비치백,(주)비앤씨ningbounionvisionimp&expco.ltd,CB063R2605-8002,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,제조,어린이>완구,국내>아시아지역>대한민국,8
KATS-RECALL-0009,recall,완구,다슬기쏙쏙다슬기잡기,㈜맘러브스유,CB063R045-5001A,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>완구,국외>아시아지역>중국,9
KATS-RECALL-0010,recall,유아용침대,큐티아기침대AB-050/애니멀,아론물산,CB141R065-9001,유해물질 | 명령에따른리콜,교환수거수리환불,2020-09-22,KATS public data: domestic product safety recall information (https://www.data.go.kr/data/15040696/fileData.do),,수입,어린이>유아용침대,국외>아시아지역>중국,10
