인증번호,모델명,제품명,브랜드명,사업자구분,법정제품분류,리콜종류,리콜사업자명,제조국가명,제조사명,제조사국가명,리콜방법,위해유형,안전성조사명,등록일
CB063R4097-20001,하프토이MR-T002,완구,하프토이,수입,어린이>완구,명령에따른리콜,주식회사해브잇올,국외>아시아지역>중국,주식회사해브잇올,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
CB063R3279-9001CB063R3279-9001A,구체관절인형(미니프린세스돌30cm),완구,,수입,어린이>완구,명령에따른리콜,와니월드,국외>아시아지역>중국,YIMEiCRAFTWORKTOYSFACTORY,국외>아시아지역>중국,교환수거수리환불,유해물질,4,2020-09-22
cb063r3362-9001,꾸러기상자,완구,키즈커즈,수입,어린이>완구,명령에따른리콜,(주)메디블루,국외>아시아지역>중국,(주)메디블루,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
Cb063r239-5001,시크릿쥬쥬핸드백쥬얼리세트,완구,시크릿쥬쥬,수입,어린이>완구,명령에따른리콜,(주)올림포스,국외>아시아지역>중국,(주)올림포스,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
CB064H045-6001(온라인),여러가지직업입체북만들기,완구,,제조,어린이>완구,명령에따른리콜,(주)코너스톤에스에이치,국내>아시아지역>대한민국,(주)코너스톤에스에이치,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
CB065R0091-7001,원형국기비즈,완구,,수입,어린이>완구,명령에따른리콜,더펀즈,국외>아시아지역>중국,,,교환수거수리환불,유해물질,4,2020-09-22
CB065R0435-9001,익스트림핑크에어워터건(YSWG-GC3M),완구,,수입,어린이>완구,명령에따른리콜,예샘,국외>아시아지역>중국,예샘,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
CB063R2605-8002,아이와모래놀이샌드비치백,완구,,제조,어린이>완구,명령에따른리콜,(주)비앤씨ningbounionvisionimp&expco.ltd,국외>아시아지역>중국,(주)비앤씨,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
CB063R045-5001A,다슬기쏙쏙다슬기잡기,완구,,수입,어린이>완구,명령에따른리콜,㈜맘러브스유,국외>아시아지역>중국,QingdaoJulingift&craft,국외>아시아지역>중국,교환수거수리환불,유해물질,4,2020-09-22
CB141R065-9001,큐티아기침대AB-050/애니멀,유아용침대,,수입,어린이>유아용침대,명령에따른리콜,아론물산,국외>아시아지역>중국,QINGDAOBAOJIHOMEPRODUCTSCO.LTD,국외>아시아지역>중국,교환수거수리환불,유해물질,4,2020-09-22
CB082R008-9001,B2mamaroorundahighchair,유아용의자,마마루,수입,어린이>유아용의자,명령에따른리콜,(주)힐링비트,국외>아시아지역>중국,,,교환수거수리환불,유해물질,4,2020-09-22
CB081T016-7001CB381T016-2001,리엔더하이체어,유아용의자,리엔더,수입,어린이>유아용의자,명령에따른리콜,(주)인태니아이,국외>유럽지역>루마니아,LeanderA/S,국외>유럽지역>덴마크,교환수거수리환불,낙상,4,2020-09-22
,마린키즈파자마_라이언,아동용섬유제품,카카오프렌즈샵,수입,어린이>아동용섬유제품,명령에따른리콜,글로벌세인트㈜,국외>아시아지역>중국,글로벌세인트(주),국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
,서클로고베기스쇼츠(ODK20BHP01),아동용섬유제품,OUTDOOR,제조,어린이>아동용섬유제품,명령에따른리콜,(주)라포르인터내셔널,국내>아시아지역>대한민국,(주)라포르인터내셔널,국내>아시아지역>대한민국,교환수거수리환불,질식,4,2020-09-22
,IE-534,어린이용안경테,,제조,어린이>어린이용안경테(선글라스포함),명령에따른리콜,성광사,국내>아시아지역>대한민국,성광사,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
,,어린이용안경테,,수입,어린이>어린이용안경테(선글라스포함),명령에따른리콜,홀릭아이웨어,국외>아시아지역>중국,,,교환수거수리환불,유해물질,4,2020-09-22
,MAYRASPBERRY,어린이용안경테,,제조,어린이>어린이용안경테(선글라스포함),명령에따른리콜,언커먼키즈,국내>아시아지역>대한민국,언커먼키즈,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
,el-JR7612,어린이용안경테,ELFIN,제조,어린이>어린이용안경테(선글라스포함),명령에따른리콜,강남옵틱,국내>아시아지역>대한민국,강남옵틱,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-22
,ELTRAEyewearBB/SK-P-3626C10,어린이용안경테,,수입,어린이>어린이용안경테(선글라스포함),명령에따른리콜,(주)성광옵틱,국외>아시아지역>중국,VICTORYEYEWEARCOLTD,국외>아시아지역>중국,교환수거수리환불,유해물질,4,2020-09-22
,Aubreylightpink,어린이용안경테,키즈스퀘어,제조,어린이>어린이용안경테(선글라스포함),명령에따른리콜,도트엔도트,국내>아시아지역>대한민국,,,교환수거수리환불,유해물질,4,2020-09-22
A051R065-1001A(온라인표기),대왕라이터,가스라이터,,수입,생활용품>가스라이터>가스라이터,명령에따른리콜,(주)미래스피드해운항공,국외>아시아지역>중국,고마운사람들,국내>아시아지역>대한민국,교환수거수리환불,화재및화상,4,2020-09-23
A051R080-6001,SPK-D,가스라이터,,수입,생활용품>가스라이터>가스라이터,명령에따른리콜,일화산업,국외>아시아지역>중국,,,교환수거수리환불,화재및화상,4,2020-09-23
L032T038-17001,PerfectRDS3.0L,가정용압력냄비및압력솥,,수입,기계금속>가정용압력냄비및압력솥>압력솥,명령에따른리콜,선우실업(주),국외>유럽지역>독일,WMFGroupGmbH,국외>유럽지역>독일,교환수거수리환불,화재및화상,4,2020-09-23
